item,descripcion,stock,precio,product_id
PALETAS-PERRO,Paletas para Perro,3,30.0,6A3513FD
HELADO-CLASICO-MEDIO-LITRO,Helado Clasico Medio Litro,99999999,90.0,AA40C33B
HELADO-GOURMET-MEDIO-LITRO,Helado Gourmet Medio Litro,99999999,95.0,2682D29D
HELADO-NIEVE-MEDIO-LITRO,Helado Nieve Medio Litro,99999999,75.0,7081D5FB
HELADO-SIN-AZUCAR-MEDIO-LITRO,Helado Sin Azucar Medio Litro,99999999,95.0,DA2364A6
PALETA-AGUA-FRESA,PALETA AGUA Fresa,5,25.0,6D8A2D50
PALETA-AGUA-GROSSELLA,PALETA AGUA Grosella,8,25.0,81CEF3B7
PALETA-AGUA-GUANABANA,PALETA AGUA Guayaba,3,25.0,K2F6E9F9
PALETA-AGUA-GUAYABA,PALETA AGUA Guayaba,3,25.0,F2E6E9F9
PALETA-AGUA-KIWI,PALETA AGUA Kiwi,0,25.0,FRTO8948
PALETA-AGUA-LIMON,PALETA AGUA Limon,8,25.0,FFFB8948
PALETA-AGUA-MANDARINA,PALETA AGUA Mandarina,3,25.0,3D2B18C9
PALETA-AGUA-MANGO,PALETA AGUA Mango,4,25.0,6263D0A1
PALETA-AGUA-MARACUYA,PALETA AGUA Maracuya,3,25.0,4E1A8D0F
PALETA-AGUA-MELON,PALETA AGUA Melon,2,25.0,5A40D3E3
PALETA-AGUA-PINA,PALETA AGUA Pina,2,25.0,BFE88BE3
PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,PALETA AGUA PREMIUM Frutos Rojos,2,30.0,746FF175
PALETA-AGUA-PREMIUM-LIMON-CHAMOY,PALETA AGUA PREMIUM Limon-Chamoy,0,30.0,BBF0DD66
PALETA-AGUA-PREMIUM-MANGO-CHAMOY,PALETA AGUA PREMIUM Mango-Chamoy,8,30.0,331268B8
PALETA-AGUA-PREMIUM-PICAFRESA,PALETA AGUA PREMIUM Picafresa,4,30.0,331378B8
PALETA-AGUA-PREMIUM-PICAPANDA,PALETA AGUA PREMIUM Picapanda,4,30.0,431378B8
PALETA-AGUA-PREMIUM-PINA-CHAMOY,PALETA AGUA PREMIUM Pina-Chamoy,2,30.0,BFE99BE3
PALETA-AGUA-PREMIUM-PULPARINDO,PALETA AGUA PREMIUM Pulparindo,2,30.0,430P78B8
PALETA-AGUA-PREMIUM-SANDIA-CHAMOY,PALETA AGUA PREMIUM Sandia-Chamoy,2,30.0,BFE99PL3
PALETA-AGUA-SANDIA,PALETA AGUA Sandia,2,25.0,21BFA58F
PALETA-AGUA-TAMARINDO,PALETA AGUA Tamarindo,3,25.0,98C5FF9E
PALETA-AGUA-UVA,PALETA AGUA Uva,0,25.0,27D27C45
PALETA-AGUA-ZAPOTE,PALETA AGUA Zapote,3,25.0,B4564A9B
PALETA-ALCOHOL-PERLA-NEGRA,PALETA ALCOHOL Perla Negra,0,45.0,BJK64A9B
PALETA-ALCOHOL-PINA-COLADA,PALETA ALCOHOL Pina Colada,0,45.0,BJK6PPLB
PALETA-ALCOHOL-TEQUILA,PALETA ALCOHOL Tequila,0,45.0,BJK345LB
PALETA-CREMA-ALGODON,PALETA CREMA Algodon,0,35.0,EBCA445D
PALETA-CREMA-ARROZ,PALETA CREMA Arroz,3,35.0,D24145B9
PALETA-CREMA-BESO-DE-ANGEL,PALETA CREMA Beso de Angel,0,35.0,0F878660
PALETA-CREMA-CAPUCHINO,PALETA CREMA Capuchino,2,35.0,13A74508
PALETA-CREMA-CHICLE,PALETA CREMA Chicle,2,35.0,053D0623
PALETA-CREMA-CHOCOLATE,PALETA CREMA Chocolate,4,35.0,3D836156
PALETA-CREMA-COCO,PALETA CREMA Coco,5,35.0,7B6778AE
PALETA-CREMA-DURAZNOS-CON-CREMA,PALETA CREMA Duraznos con Crema,2,35.0,C8A28FAC
PALETA-CREMA-FRESA-CREMA,PALETA CREMA Fresa Crema,0,35.0,03C761EC
PALETA-CREMA-FRESA-CON-CREMA,PALETA CREMA Fresa con Crema,5,35.0,03C761CC
PALETA-CREMA-MAMEY,PALETA CREMA Mamey,3,35.0,07A7670E
PALETA-CREMA-MAZAPAN,PALETA CREMA Mazapan ,3,35.0,07A7679E
PALETA-CREMA-MENTA-CHOCOLATE,PALETA CREMA Menta con Chocolate ,3,35.0,97A7679E
PALETA-CREMA-OREO,PALETA CREMA Oreo,4,35.0,02298874
PALETA-CREMA-PAY-DE-LIMON,PALETA CREMA Pay de Limon,0,35.0,7B72DC7E
PALETA-CREMA-QUESO,PALETA CREMA Queso,1,35.0,02298024
PALETA-CREMA-SALTED-CARAMEL,PALETA CREMA Salted Caramel,0,35.0,05908024
PALETA-CREMA-PREMIUM-PINON,PALETA CREMA PREMIUM Pinon,3,40.0,F6F917A9
PALETA-CREMA-PREMIUM-PISTACHE,PALETA CREMA PREMIUM Pistache,3,40.0,E4F287A9
PALETA-CREMA-PREMIUM-BAILEYS,PALETA CREMA PREMIUM Baileys,3,40.0,71F27465
PALETA-CREMA-PREMIUM-CAJETA,PALETA CREMA PREMIUM Cajeta,2,40.0,6AD82AE1
PALETA-CREMA-PREMIUM-CHONGOS,PALETA CREMA PREMIUM Chongos,2,40.0,884118CA
PALETA-CREMA-PREMIUM-FERRERO,PALETA CREMA PREMIUM Ferrero,5,40.0,516E1BCF
PALETA-CREMA-PREMIUM-KAHLUA,PALETA CREMA PREMIUM Kahlua,0,40.0,2CF84FBA
PALETA-CREMA-PREMIUM-MOCTEZUMA,PALETA CREMA PREMIUM Moctezuma,0,40.0,2CF72FBA
PALETA-CREMA-PREMIUM-NUEZ,PALETA CREMA PREMIUM Nuez,4,40.0,92CFB2A5
PALETA-CREMA-PREMIUM-NUTELLA,PALETA CREMA PREMIUM Nutella,0,40.0,92CFB2A5
PALETA-CREMA-PREMIUM-QUESO-CON-ZARZAMORA,PALETA CREMA PREMIUM Queso con Zarzamora,3,40.0,000CCCFD
PALETA-CREMA-PREMIUM-RAFFAELLO,PALETA CREMA PREMIUM Raffaello,2,40.0,216G1BCF
PALETA-CREMA-PREMIUM-RON-CON-PASAS,PALETA CREMA PREMIUM Ron con Pasas,0,40.0,92BA8FD0
PALETA-CREMA-PREMIUM-SNICKERS,PALETA CREMA PREMIUM Snickers,0,40.0,3A0CCE07
PALETA-CREMA-PREMIUM-VINO-TINTO-RELLENO,PALETA CREMA PREMIUM Vino Tinto,0,40.0,6DF1F449
PALETA-CREMA-ROMPOPE,PALETA CREMA Rompope,0,35.0,ACF8DA00
PALETA-CREMA-PREMIUM-SELVA-BLANCA,PALETA CREMA PREMIUM Selva Blanca,2,40.0,05833dE3
PALETA-CREMA-PREMIUM-SELVA-NEGRA,PALETA CREMA PREMIUM Selva Negra,5,40.0,05833CE3
PALETA-CREMA-TARO,PALETA CREMA Taro,2,35.0,866B8AED
PALETA-CREMA-TRIX,PALETA CREMA Trix,0,35.0,866K9AED
PALETA-CREMA-VAINILLA,PALETA CREMA Vainilla,0,35.0,F6AEC245
PALETA-MINI-MINI-AGUA,PALETA MINI Mini Agua,999999999,6.0,7A03C7DC
PALETA-MINI-MINI-CREMA,PALETA MINI Mini Crema,99999999999,8.0, C371ED40
PALETA-MINI-MINI-ALCOHOL,PALETA MINI Mini Alcohol,99999999999,10.0,C371ED50
PALETA-MINI-MINI-SIN-AZUCAR,PALETA MINI Mini Sin Azucar,99999999999,10.0,D189174D
PALETA-SIN-AZUCAR-CAJETA,PALETA SIN AZUCAR Cajeta,0,45.0,68DJ885D
PALETA-SIN-AZUCAR-CAPUCHINO,PALETA SIN AZUCAR Capuchino,1,45.0,68DJ808D
PALETA-SIN-AZUCAR-CHOCOLATE,PALETA SIN AZUCAR Chocoketo,1,45.0,03390F0A
