issue_number,event_hash,payload_type,fecha,status
291,551f93f3350154473c773ff0e28a12b9629e1a71,venta,,ok
292,5b0423ae3d521b5058ce95084f9827ecd46b0e4e,venta,2026-04-25,ok
294,46d98a4051cdb4024f0593a0b12212a7a5690994,venta,2026-04-25,ok
295,14a7c23ba9f085398353bf84351d2cff321c5c89,venta,2026-04-25,ok
296,870d26b32e64b2ece949ae78878cc3a799e96a61,merma,2026-04-25,ok
297,98d304be68221cf8598645756b1ba56613e8b236,venta,2026-04-25,ok
298,b3ba142c5d6373431ec8927c9153ac2a5311137a,venta,2026-04-25,ok
299,c8032fed4adf03f48e948bae17a6650185ff0019,venta,2026-04-25,ok
300,d66fc243fdbf2c07315ea3b03b915fbe689f936b,venta,2026-04-25,ok
301,03eb6c7d9d82ae92c2e558969f2d5e83d17af946,venta,2026-04-25,ok
302,8c90b923fc3593836bff146c638e2ed2e56113a8,venta,2026-04-25,ok
303,c56efa6bb6705baac5e795b096e7626c385a4293,venta,2026-04-25,ok
305,a1fc03a0e4f854a7f4b9e95211c705774bbcccd9,venta,2026-04-25,ok
306,a23409a15ac708b190c6e60362db1f27b9e05b60,venta,2026-04-25,ok
307,ac6445cf4a411ba2930572119d2d95eb9e50df54,venta,2026-04-25,ok
308,f7e783be541213b5df25f643f3a2481b5daeae9b,venta,2026-04-25,ok
310,d1aa40a9140b3b0b88e69a6d175a6752fe1a3872,venta,2026-04-25,ok
311,ee194475f3a332329fbe2f38ac35e7c915957b84,venta,2026-04-25,ok
312,fdfcdc6dcbecf6fc6074aa4bf066d2f400d4f2b0,venta,2026-04-25,ok
313,37bb60bd2b4c546e16d0392830ed976c936cab3c,venta,2026-04-25,ok
315,aac3501e532db6794ad524575d7cbbdbb4191d19,venta,2026-04-25,ok
317,12193a0a65a5025284db9717fe259d281a5296e8,venta,2026-04-25,ok
319,0a852c4b523671fca7be6f20ab2ca2f603b070ed,venta,2026-04-25,ok
320,10f1c9bc0c395b41a8dc4b86380ef14aeeba574b,venta,2026-04-25,ok
322,b9d7b73c25533f2275edf548930839d64829d25a,venta,2026-04-25,ok
323,1ea7dc916776bc610bb2b7f5136b90acdd3d185f,venta,2026-04-25,ok
324,8e07b7b7b49217c0641c536db78b94136719ac82,venta,2026-04-25,ok
326,1dc5e6124cba8a5fefbb20949942bd8d089a93b2,venta,2026-04-25,ok
328,78ba2182532762bf7a7967e6327a9991eaad5b7f,venta,2026-04-25,ok
330,6754ea03e30fff8bbb14f01d4469f46ffb38864b,venta,2026-04-25,ok
331,545618ebea721ce72d49e201c935edf1cae81e64,venta,2026-04-25,ok
332,17bd16f853a92f29b160731225585836d5576863,venta,2026-04-25,ok
334,a4f9c17f1fc777010b6409727d4a5100ddb34348,venta,2026-04-25,ok
335,fdc15b49efcd14f49ffbd14d1f2bc2d1b6beb90f,venta,2026-04-25,ok
337,aceab3aeb07fe43595793da52ba1c3452478bafa,venta,2026-04-25,ok
339,f4742f14017f317e904395377e38bcdfae3f8ac8,venta,2026-04-25,ok
341,ecb6bded841860348747cf79371a84b41102f469,venta,2026-04-25,ok
342,4f0d45f4947d14b3151a2c70710d3fe0f21a547d,venta,2026-04-25,ok
