txn_id,fecha,item,cantidad,precio_unit,importe,issue,metodo_pago,source_id,descripcion,status,correction_ref,notas
S000123,2026-04-24,PALETA-MINI-MINI-SIN-AZUCAR,5,10.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/246,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/246#0,,,,
S000124,2026-04-24,AGUA-FRESCA-GRANDE,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/247,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/247#0,,,,
S000125,2026-04-24,HELADO-CLASICO-SENCILLO,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/248,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/248#0,,,,
S000125,2026-04-24,HELADO-NIEVE-MEDIO-LITRO,1,75.0,75.0,https://github.com/OswaldoCasillas/Ventas/issues/248,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/248#3,,,,
S000125,2026-04-24,PALETA-AGUA-MANDARINA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/248,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/248#1,,,,
S000125,2026-04-24,PALETA-SIN-AZUCAR-COCO,1,45.0,45.0,https://github.com/OswaldoCasillas/Ventas/issues/248,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/248#2,,,,
S000126,2026-04-24,PALETA-MINI-MINI-AGUA,1,6.0,6.0,https://github.com/OswaldoCasillas/Ventas/issues/249,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/249#0,,,,
S000126,2026-04-24,PALETA-MINI-MINI-CREMA,1,8.0,8.0,https://github.com/OswaldoCasillas/Ventas/issues/249,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/249#1,,,,
S000127,2026-04-24,PALETA-MINI-MINI-AGUA,2,6.0,12.0,https://github.com/OswaldoCasillas/Ventas/issues/250,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/250#0,,,,
S000127,2026-04-24,PALETA-MINI-MINI-CREMA,2,8.0,16.0,https://github.com/OswaldoCasillas/Ventas/issues/250,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/250#1,,,,
S000128,2026-04-24,PALETA-CREMA-PREMIUM-FERRERO,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/251,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/251#0,,,,
S000129,2026-04-24,HELADO-CLASICO-SENCILLO,3,35.0,105.0,https://github.com/OswaldoCasillas/Ventas/issues/252,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/252#2,,,,
S000129,2026-04-24,HELADO-GOURMET-SENCILLO,2,40.0,80.0,https://github.com/OswaldoCasillas/Ventas/issues/252,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/252#1,,,,
S000129,2026-04-24,HELADO-NIEVE-SENCILLO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/252,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/252#0,,,,
S000130,2026-04-24,PALETA-AGUA-UVA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/253,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/253#0,,,,
S000131,2026-04-24,PALETA-MINI-MINI-AGUA,2,6.0,12.0,https://github.com/OswaldoCasillas/Ventas/issues/254,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/254#0,,,,
S000132,2026-04-24,PALETA-MINI-MINI-CREMA,1,8.0,8.0,https://github.com/OswaldoCasillas/Ventas/issues/255,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/255#0,,,,
S000133,2026-04-24,HELADO-SIN-AZUCAR-MEDIO-LITRO,1,95.0,95.0,https://github.com/OswaldoCasillas/Ventas/issues/256,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/256#0,,,,
S000134,2026-04-24,PALETA-AGUA-FRESA,2,25.0,50.0,https://github.com/OswaldoCasillas/Ventas/issues/257,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/257#0,,,,
S000135,2026-04-24,AGUA-FRESCA-CHICA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/258,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/258#0,,,,
S000135,2026-04-24,AGUA-FRESCA-GRANDE,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/258,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/258#1,,,,
S000135,2026-04-24,HELADO-CLASICO-SENCILLO,2,35.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/258,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/258#2,,,,
S000136,2026-04-24,PALETA-AGUA-PINA,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/259,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/259#0,,,,
S000136,2026-04-24,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/259,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/259#1,,,,
S000136,2026-04-24,PALETA-CREMA-PREMIUM-NUEZ,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/259,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/259#2,,,,
S000137,2026-04-24,HELADO-GOURMET-DOBLE,1,70.0,70.0,https://github.com/OswaldoCasillas/Ventas/issues/260,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/260#0,,,,
S000137,2026-04-24,HELADO-NIEVE-MEDIO-LITRO,1,75.0,75.0,https://github.com/OswaldoCasillas/Ventas/issues/260,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/260#1,,,,
S000137,2026-04-24,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,1,30.0,30.0,https://github.com/OswaldoCasillas/Ventas/issues/260,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/260#3,,,,
S000137,2026-04-24,PALETA-CREMA-PREMIUM-SELVA-NEGRA,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/260,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/260#2,,,,
S000138,2026-04-24,PALETA-AGUA-LIMON,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/261,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/261#0,,,,
S000138,2026-04-24,PALETA-CREMA-PREMIUM-PISTACHE,1,40.0,40.0,https://github.com/OswaldoCasillas/Ventas/issues/261,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/261#1,,,,
S000139,2026-04-24,PALETA-AGUA-MANGO,1,25.0,25.0,https://github.com/OswaldoCasillas/Ventas/issues/262,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/262#2,,,,
S000139,2026-04-24,PALETA-CREMA-FRESA-CON-CREMA,1,35.0,35.0,https://github.com/OswaldoCasillas/Ventas/issues/262,efectivo,issue:https://github.com/OswaldoCasillas/Ventas/issues/262#1,,,,
