product_id,item,descripcion,precio,stock
AA40C33B,HELADO-CLASICO-MEDIO-LITRO,Helado Clasico Medio Litro,90.0,99999999
2682D29D,HELADO-GOURMET-MEDIO-LITRO,Helado Gourmet Medio Litro,95.0,99999999
7081D5FB,HELADO-NIEVE-MEDIO-LITRO,Helado Nieve Medio Litro,75.0,99999999
DA2364A6,HELADO-SIN-AZUCAR-MEDIO-LITRO,Helado Sin Azucar Medio Litro,95.0,99999999
6D8A2D50,PALETA-AGUA-FRESA,PALETA AGUA Fresa,25.0,5
81CEF3B7,PALETA-AGUA-GROSSELLA,PALETA AGUA Grosella,25.0,8
K2F6E9F9,PALETA-AGUA-GUANABANA,PALETA AGUA Guayaba,25.0,3
F2E6E9F9,PALETA-AGUA-GUAYABA,PALETA AGUA Guayaba,25.0,3
FRTO8948,PALETA-AGUA-KIWI,PALETA AGUA Kiwi,25.0,0
FFFB8948,PALETA-AGUA-LIMON,PALETA AGUA Limon,25.0,8
3D2B18C9,PALETA-AGUA-MANDARINA,PALETA AGUA Mandarina,25.0,3
6263D0A1,PALETA-AGUA-MANGO,PALETA AGUA Mango,25.0,4
4E1A8D0F,PALETA-AGUA-MARACUYA,PALETA AGUA Maracuya,25.0,3
5A40D3E3,PALETA-AGUA-MELON,PALETA AGUA Melon,25.0,2
BFE88BE3,PALETA-AGUA-PINA,PALETA AGUA Pina,25.0,2
746FF175,PALETA-AGUA-PREMIUM-FRUTOS-ROJOS,PALETA AGUA PREMIUM Frutos Rojos,30.0,2
BBF0DD66,PALETA-AGUA-PREMIUM-LIMON-CHAMOY,PALETA AGUA PREMIUM Limon-Chamoy,30.0,0
331268B8,PALETA-AGUA-PREMIUM-MANGO-CHAMOY,PALETA AGUA PREMIUM Mango-Chamoy,30.0,8
331378B8,PALETA-AGUA-PREMIUM-PICAFRESA,PALETA AGUA PREMIUM Picafresa,30.0,4
431378B8,PALETA-AGUA-PREMIUM-PICAPANDA,PALETA AGUA PREMIUM Picapanda,30.0,4
BFE99BE3,PALETA-AGUA-PREMIUM-PINA-CHAMOY,PALETA AGUA PREMIUM Pina-Chamoy,30.0,2
430P78B8,PALETA-AGUA-PREMIUM-PULPARINDO,PALETA AGUA PREMIUM Pulparindo,30.0,2
